YOU  Y UW
WITHIN  W IH DH IH N
WITHIN(1)  W IH TH IH N
SPENT  S P EH N T
FEELS  F IY L Z
LIEUTENANT  L UW T EH N AH N T
CRY  K R AY
MUM  M AH M
VISIT  V IH Z IH T
HONEST  AA N AH S T
SEAT  S IY T
MAMA  M AA M AH
TEACHER  T IY CH ER
RELATIONSHIP  R IY L EY SH AH N SH IH P
MOVED  M UW V D
PLEASURE  P L EH ZH ER
CAMERA  K AE M ER AH
CAMERA(1)  K AE M R AH
STARTING  S T AA R T IH NG
BLOODY  B L AH D IY
LIVED  L IH V D
LIVED(1)  L AY V D
COLLEGE  K AA L IH JH
JUDGE  JH AH JH
COPS  K AA P S
POSITION  P AH Z IH SH AH N
SAKE  S EY K
SCREAMING  S K R IY M IH NG
BOYFRIEND  B OY F R EH N D
WALL  W AO L
TEACH  T IY CH
NEITHER  N IY DH ER
NEITHER(1)  N AY DH ER
PROVE  P R UW V
LOVES  L AH V Z
BESIDES  B IH S AY D Z
BESIDES(1)  B IY S AY D Z
REALIZE  R IY AH L AY Z
PRIVATE  P R AY V AH T
BEN  B EH N
IMPOSSIBLE  IH M P AA S AH B AH L
WALKING  W AO K IH NG
CARRY  K AE R IY
CARRY(1)  K EH R IY
ACCEPT  AE K S EH P T
ACCEPT(1)  AH K S EH P T
ESPECIALLY  AH S P EH SH L IY
ESPECIALLY(1)  AH S P EH SH AH L IY
LIKED  L AY K T
FRENCH  F R EH N CH
ART  AA R T
MACHINE  M AH SH IY N
GREEN  G R IY N
INVOLVED  IH N V AA L V D
BECAME  B IH K EY M
BECAME(1)  B IY K EY M
COP  K AA P
LA  L AA
WINE  W AY N
APARTMENT  AH P AA R T M AH N T
UPSET  AH P S EH T
UPSET(1)  AH P S EH T
CUTE  K Y UW T
VILLAGE  V IH L AH JH
VILLAGE(1)  V IH L IH JH
HOLY  HH OW L IY
CONGRATULATIONS  K AH N G R AE CH AH L EY SH AH N Z
JAIL  JH EY L
LIKES  L AY K S
SLEEPING  S L IY P IH NG
JOKE  JH OW K
EVIL  IY V AH L
LAWYER  L AO Y ER
LAWYER(1)  L OY ER
FIELD  F IY L D
CONTACT  K AA N T AE K T
OBVIOUSLY  AA B V IY AH S L IY
STORE  S T AO R
QUIT  K W IH T
DYING  D AY IH NG
QUEEN  K W IY N
SHOP  SH AA P
HUNDRED  HH AH N D R AH D
HUNDRED(1)  HH AH N D R IH D
HUNDRED(2)  HH AH N ER D
HUNDRED(3)  HH AH N D ER D
PROFESSOR  P R AH F EH S ER
CONTINUE  K AH N T IH N Y UW
WHOSE  HH UW Z
DRIVING  D R AY V IH NG
APPRECIATE  AH P R IY SH IY EY T
MADAM  M AE D AH M
DOUBT  D AW T
WROTE  R OW T
PLANE  P L EY N
CASH  K AE SH
ISLAND  AY L AH N D
CAT  K AE T
SLOW  S L OW
HUGE  HH Y UW JH
HUGE(1)  Y UW JH
DECISION  D IH S IH ZH AH N
BEER  B IH R
DIFFERENCE  D IH F ER AH N S
DIFFERENCE(1)  D IH F R AH N S
THOUSAND  TH AW Z AH N D
THOUSAND(1)  TH AW Z AH N
BEGINNING  B IH G IH N IH NG
CHRIST  K R AY S T
PUSH  P UH SH
SOUTH  S AW TH
GIFT  G IH F T
GLASS  G L AE S
EATING  IY T IH NG
TREE  T R IY
BEAR  B EH R
STUCK  S T AH K
COLONEL  K ER N AH L
RULES  R UW L Z
NORTH  N AO R TH
BUS  B AH S
SECONDS  S EH K AH N D Z
DREAMS  D R IY M Z
PARTNER  P AA R T N ER
GRAB  G R AE B
VICTIM  V IH K T IH M
DIRTY  D ER T IY
COMPUTER  K AH M P Y UW T ER
TRUCK  T R AH K
PROMISED  P R AA M AH S T
REACH  R IY CH
UPON  AH P AA N
SINGING  S IH NG IH NG
BOARD  B AO R D
SHOES  SH UW Z
GIVES  G IH V Z
STAYING  S T EY IH NG
FAT  F AE T
PLANET  P L AE N AH T
HENRY  HH EH N R IY
SUDDENLY  S AH D AH N L IY
PUTTING  P AH T IH NG
PUTTING(1)  P UH T IH NG
SEARCH  S ER CH
LOTS  L AA T S
IMMEDIATELY  IH M IY D IY AH T L IY
WIND  W AY N D
WIND(1)  W IH N D
ARREST  ER EH S T
JUMP  JH AH M P
SUPPORT  S AH P AO R T
MAGIC  M AE JH IH K
OWE  OW
CRAP  K R AE P
HOLDING  HH OW L D IH NG
CONTINUES  K AH N T IH N Y UW Z
USUALLY  Y UW ZH AH W AH L IY
USUALLY(1)  Y UW ZH AH L IY
KITCHEN  K IH CH AH N
SUMMER  S AH M ER
ARMS  AA R M Z
DE  D IY
DE(1)  D EY
DE(2)  D AH
PATIENT  P EY SH AH N T
AUNT  AE N T
AUNT(1)  AO N T
EXPERIENCE  IH K S P IH R IY AH N S
HEAVEN  HH EH V AH N
JAMES  JH EY M Z
PARIS  P EH R IH S
PARIS(1)  P AE R IH S
GROW  G R OW
PASSED  P AE S T
RID  R IH D
HARRY  HH EH R IY
RIVER  R IH V ER
EVERYWHERE  EH V R IY W EH R
EVERYWHERE(1)  EH V R IY HH W EH R
LISTENING  L IH S AH N IH NG
LISTENING(1)  L IH S N IH NG
KNOCK  N AA K
ESCAPE  IH S K EY P
CHEERS  CH IH R Z
AAH  AA
BOTHER  B AA DH ER
ER  ER
ADDRESS  AE D R EH S
ADDRESS(1)  AE D R EH S
FOOT  F UH T
YO  Y OW
MOON  M UW N
TURNS  T ER N Z
MATE  M EY T
DRINKING  D R IH NG K IH NG
GRAND  G R AE N D
WORST  W ER S T
MATCH  M AE CH
NERVOUS  N ER V AH S
FINAL  F AY N AH L
CHOOSE  CH UW Z
SMOKE  S M OW K
ORDERS  AO R D ER Z
OTHERWISE  AH DH ER W AY Z
BOOKS  B UH K S
BLAME  B L EY M
PRESS  P R EH S
LS  EH L EH S
DECIDE  D IH S AY D
DRUGS  D R AH G Z
MAX  M AE K S
THEMSELVES  DH EH M S EH L V Z
THEMSELVES(1)  DH AH M S EH L V Z
SMILE  S M AY L
TYPE  T AY P
OW  OW
OW(1)  AW
GAY  G EY
PICKED  P IH K T
MISSION  M IH SH AH N
FAVOR  F EY V ER
NICK  N IH K
NAMED  N EY M D
ARRIVED  ER AY V D
ALLOWED  AH L AW D
ACTION  AE K SH AH N
C  S IY
DUTY  D UW T IY
DUTY(1)  D Y UW T IY
PRICE  P R AY S
GUARD  G AA R D
PICTURES  P IH K CH ER Z
RISK  R IH S K
INNOCENT  IH N AH S AH N T
DANNY  D AE N IY
LEGS  L EH G Z
NOTICE  N OW T AH S
NOTICE(1)  N OW T IH S
LEARNED  L ER N D
LEARNED(1)  L ER N IH D
BEGIN  B IH G IH N
ENEMY  EH N AH M IY
PLAYED  P L EY D
KICK  K IH K
RACE  R EY S
SUIT  S UW T
JIMMY  JH IH M IY
OURSELVES  AW ER S EH L V Z
OURSELVES(1)  AA R S EH L V Z
ALLOW  AH L AW
FIT  F IH T
YEP  Y EH P
DIRECTOR  D ER EH K T ER
DIRECTOR(1)  D AY R EH K T ER
DIRECTOR(2)  D IY R EH K T ER
DIRECTOR(3)  D IH R EH K T ER
SURPRISED  S ER P R AY Z D
SURPRISED(1)  S AH P R AY Z D
PREGNANT  P R EH G N AH N T
NINE  N AY N
FURTHER  F ER DH ER
DOLLARS  D AA L ER Z
DOLLARS(1)  D AO L ER Z
MRS  M IH S IH Z
SPOT  S P AA T
CROSS  K R AO S
ARM  AA R M
UPSTAIRS  AH P S T EH R Z
HERSELF  HH ER S EH L F
STEAL  S T IY L
FEELINGS  F IY L IH NG Z
BROTHERS  B R AH DH ER Z
RINGS  R IH NG Z
CHICKEN  CH IH K AH N
NAMES  N EY M Z
GRUNTS  G R AH N T S
APART  AH P AA R T
TWICE  T W AY S
DEPARTMENT  D IH P AA R T M AH N T
ACCORDING  AH K AO R D IH NG
SILLY  S IH L IY
BOB  B AA B
HERO  HH IH R OW
HERO(1)  HH IY R OW
GAS  G AE S
CLOSED  K L OW Z D
ADMIT  AH D M IH T
DESTROY  D IH S T R OY
SERGEANT  S AA R JH AH N T
ALEX  AE L AH K S
GUILTY  G IH L T IY
LOW  L OW
LEG  L EH G
TASTE  T EY S T
WASTE  W EY S T
TONY  T OW N IY
EARLIER  ER L IY ER
AWESOME  AO S AH M
FIRED  F AY ER D
LONDON  L AH N D AH N
WEST  W EH S T
BUNCH  B AH N CH
BATTLE  B AE T AH L
STUDY  S T AH D IY
BIGGER  B IH G ER
MENTION  M EH N SH AH N
WRITING  R AY T IH NG
HELPING  HH EH L P IH NG
BELL  B EH L
RAY  R EY
SOLD  S OW L D
WAYS  W EY Z
STAGE  S T EY JH
WRITTEN  R IH T AH N
KEEPING  K IY P IH NG
HOLE  HH OW L
LOCKED  L AA K T
LOCK  L AA K
WEAPON  W EH P AH N
JIM  JH IH M
PLACES  P L EY S AH Z
PLACES(1)  P L EY S IH Z
HELPED  HH EH L P T
INDEED  IH N D IY D
ENERGY  EH N ER JH IY
TREAT  T R IY T
BURN  B ER N
STOLE  S T OW L
HIDING  HH AY D IH NG
FORM  F AO R M
ABOVE  AH B AH V
SKY  S K AY
GASPS  G AE S P S
BREAKFAST  B R EH K F AH S T
BAND  B AE N D
FIGURED  F IH G Y ER D
SEEMED  S IY M D
EMPTY  EH M P T IY
EMPTY(1)  EH M T IY
FRESH  F R EH SH
PRINCE  P R IH N S
TRACK  T R AE K
SPIRIT  S P IH R AH T
SPIRIT(1)  S P IH R IH T
COMPLETE  K AH M P L IY T
READING  R IY D IH NG
READING(1)  R EH D IH NG
NOSE  N OW Z
FAVORITE  F EY V ER IH T
FAVORITE(1)  F EY V R AH T
MEMORY  M EH M ER IY
SARAH  S EH R AH
LAUGHTER  L AE F T ER
ROLL  R OW L
WITNESS  W IH T N AH S
STARTS  S T AA R T S
DOUBLE  D AH B AH L
HOWEVER  HH AW EH V ER
BATHROOM  B AE TH R UW M
E  IY
BUILD  B IH L D
BOMB  B AA M
BOMB(1)  B AO M
PRESSURE  P R EH SH ER
FLIGHT  F L AY T
INTEREST  IH N T AH R EH S T
FLOWERS  F L AW ER Z
GODDAMN  G AA D AE M
FOLLOWING  F AA L OW IH NG
WHOM  HH UW M
DOGS  D AA G Z
DOGS(1)  D AO G Z
STEVE  S T IY V
ITSELF  IH T S EH L F
THROAT  TH R OW T
COST  K AA S T
COST(1)  K AO S T
DANGER  D EY N JH ER
CLOSER  K L OW S ER
CLOSER(1)  K L OW Z ER
ASSHOLE  AE S HH OW L
NECK  N EH K
VAN  V AE N
RAISE  R EY Z
ACTING  AE K T IH NG
MOMMY  M AA M IY
PLANS  P L AE N Z
ADAM  AE D AH M
SHOOTING  SH UW T IH NG
BEG  B EH G
NARRATOR  N EH R EY T ER
LOSING  L UW Z IH NG
RIDICULOUS  R IH D IH K Y AH L AH S
SUSPECT  S AH S P EH K T
SUSPECT(1)  S AH S P EH K T
BOTTLE  B AA T AH L
WARM  W AO R M
BEAUTY  B Y UW T IY
NATURE  N EY CH ER
MEDICAL  M EH D AH K AH L
MEDICAL(1)  M EH D IH K AH L
APPARENTLY  AH P EH R AH N T L IY
ASLEEP  AH S L IY P
GUNS  G AH N Z
VIDEO  V IH D IY OW
RAIN  R EY N
CAMP  K AE M P
SHAME  SH EY M
DRIVER  D R AY V ER
KEYS  K IY Z
BIRD  B ER D
BUILT  B IH L T
CROWD  K R AW D
EXTRA  EH K S T R AH
HEAVY  HH EH V IY
SIMPLY  S IH M P L IY
FAMOUS  F EY M AH S
PANTS  P AE N T S
MAJESTY  M AE JH AH S T IY
KEEPS  K IY P S
LEVEL  L EH V AH L
TOMMY  T AA M IY
FAITH  F EY TH
ANIMALS  AE N AH M AH L Z
COMMANDER  K AH M AE N D ER
WILD  W AY L D
RICHARD  R IH CH ER D
SHOWED  SH OW D
AWFUL  AO F AH L
LAY  L EY
DESERVE  D IH Z ER V
EXCELLENT  EH K S AH L AH N T
CLIENT  K L AY AH N T
PLENTY  P L EH N T IY
PLENTY(1)  P L EH N IY
CONSIDER  K AH N S IH D ER
EXCITED  IH K S AY T AH D
EXCITED(1)  IH K S AY T IH D
ENGINE  EH N JH AH N
ENGINE(1)  IH N JH AH N
BILLY  B IH L IY
POP  P AA P
RINGING  R IH NG IH NG
ANIMAL  AE N AH M AH L
HOPING  HH OW P IH NG
RESPONSIBLE  R IY S P AA N S AH B AH L
JANE  JH EY N
WONDERING  W AH N D ER IH NG
DEVIL  D EH V AH L
WEEKEND  W IY K EH N D
WEEKEND(1)  W IY K IH N D
STONE  S T OW N
SWEETHEART  S W IY T HH AA R T
LARGE  L AA R JH
MILITARY  M IH L AH T EH R IY
MILITARY(1)  M IH L IH T EH R IY
COOK  K UH K
SKIN  S K IH N
KNIFE  N AY F
COMMON  K AA M AH N
GRACE  G R EY S
PAPERS  P EY P ER Z
DRUG  D R AH G
WILLING  W IH L IH NG
NECESSARY  N EH S AH S EH R IY
WHOEVER  HH UW EH V ER
BLIND  B L AY N D
FLYING  F L AY IH NG
GERMAN  JH ER M AH N
BEACH  B IY CH
HAT  HH AE T
WALKED  W AO K T
NOR  N AO R
LIGHTS  L AY T S
LOCAL  L OW K AH L
STARS  S T AA R Z
ALTHOUGH  AO L DH OW
CODE  K OW D
MAIN  M EY N
GRUNTING  G R AH N T IH NG
FASTER  F AE S T ER
HALL  HH AO L
OPPORTUNITY  AA P ER T UW N AH T IY
BULLSHIT  B UH L SH IH T
CORNER  K AO R N ER
CARS  K AA R Z
CARS(1)  K AA Z
JOHNNY  JH AA N IY
AGREED  AH G R IY D
CUP  K AH P
LIES  L AY Z
KNOWING  N OW IH NG
JUSTICE  JH AH S T AH S
JUSTICE(1)  JH AH S T IH S
DUE  D UW
DUE(1)  D Y UW
ROSE  R OW Z
LEAVES  L IY V Z
PRINCESS  P R IH N S EH S
FOLKS  F OW K S
BOTTOM  B AA T AH M
APOLOGIZE  AH P AA L AH JH AY Z
GHOST  G OW S T
TIGHT  T AY T
LEE  L IY
DICK  D IH K
GRANDMA  G R AE N D M AA
RESTAURANT  R EH S T ER AA N T
RESTAURANT(1)  R EH S T R AA N T
LANGUAGE  L AE NG G W AH JH
LANGUAGE(1)  L AE NG G W IH JH
WEAPONS  W EH P AH N Z
EAST  IY S T
FELLOW  F EH L OW
NOTE  N OW T
LEADER  L IY D ER
SEVERAL  S EH V ER AH L
TELLS  T EH L Z
CLEARLY  K L IH R L IY
HEALTH  HH EH L TH
SHOWS  SH OW Z
CORRECT  K ER EH K T
ANGEL  EY N JH AH L
HANGING  HH AE NG IH NG
HANGING(1)  HH AE NG G IH NG
STORIES  S T AO R IY Z
JAKE  JH EY K
PULLED  P UH L D
RULE  R UW L
COUSIN  K AH Z AH N
ADVICE  AE D V AY S
ADVICE(1)  AH D V AY S
BEYOND  B IH AA N D
BEYOND(1)  B IY AO N D
BEYOND(2)  B IH AO N D
HELD  HH EH L D
HARDLY  HH AA R D L IY
PARDON  P AA R D AH N
MILK  M IH L K
DANCING  D AE N S IH NG
GROANS  G R OW N Z
GOTTEN  G AA T AH N
GOTTEN(1)  G AO T AH N
SPOKE  S P OW K
SPEED  S P IY D
UNDERSTOOD  AH N D ER S T UH D
FILE  F AY L
TAPE  T EY P
PRACTICE  P R AE K T IH S
TAUGHT  T AO T
AMONG  AH M AH NG
MURDERED  M ER D ER D
EMERGENCY  IH M ER JH AH N S IY
EMERGENCY(1)  IY M ER JH AH N S IY
OUGHT  AO T
SOMEHOW  S AH M HH AW
BRIDGE  B R IH JH
COACH  K OW CH
MARTIN  M AA R T AH N
MARTIN(1)  M AA R T IH N
INSPECTOR  IH N S P EH K T ER
MINISTER  M IH N AH S T ER
MINISTER(1)  M IH N IH S T ER
STATES  S T EY T S
APPLAUSE  AH P L AO Z
POSSIBLY  P AA S AH B L IY
CONVERSATION  K AA N V ER S EY SH AH N
HEARING  HH IY R IH NG
NATIONAL  N AE SH AH N AH L
NATIONAL(1)  N AE SH N AH L
ACCOUNT  AH K AW N T
BREATH  B R EH TH
SHOUTING  SH AW T IH NG
CREW  K R UW
LIED  L AY D
MEAT  M IY T
CAKE  K EY K
STRENGTH  S T R EH NG K TH
STRENGTH(1)  S T R EH NG TH
NATURAL  N AE CH ER AH L
NATURAL(1)  N AE CH R AH L
CAREER  K ER IH R
PLUS  P L AH S
DRESSED  D R EH S T
SIGHT  S AY T
VOTE  V OW T
POWERFUL  P AW ER F AH L
COPY  K AA P IY
NONSENSE  N AA N S EH N S
STUDENT  S T UW D AH N T
DROPPED  D R AA P T
TRIAL  T R AY AH L
TRIAL(1)  T R AY L
FREEDOM  F R IY D AH M
BREATHE  B R IY DH
MARKET  M AA R K AH T
MARKET(1)  M AA R K IH T
DOC  D AA K
SOLDIERS  S OW L JH ER Z
SERVE  S ER V
PHOTO  F OW T OW
MANAGER  M AE N AH JH ER
MANAGER(1)  M AE N IH JH ER
ROBERT  R AA B ER T
EDDIE  EH D IY
TOWARDS  T AH W AO R D Z
TOWARDS(1)  T AO R D Z
BIGGEST  B IH G AH S T
HORRIBLE  HH AO R AH B AH L
ARRESTED  ER EH S T AH D
ARRESTED(1)  ER EH S T IH D
SIZE  S AY Z
BRINGING  B R IH NG IH NG
NOTICED  N OW T IH S T
FANTASTIC  F AE N T AE S T IH K
PAPA  P AA P AH
OPERATION  AA P ER EY SH AH N
GREATEST  G R EY T AH S T
NEARLY  N IH R L IY
CHINESE  CH AY N IY Z
CHEERING  CH IH R IH NG
CHECKED  CH EH K T
TRICK  T R IH K
BREAKING  B R EY K IH NG
OLDER  OW L D ER
SWEETIE  S W IY T IY
TEETH  T IY TH
PACK  P AE K
MONSTER  M AA N S T ER
IDEAS  AY D IY AH Z
CENTER  S EH N T ER
CENTER(1)  S EH N ER
FORGOTTEN  F ER G AA T AH N
FORGOTTEN(1)  F AO R G AA T AH N
TRAVEL  T R AE V AH L
HURTS  HH ER T S
BELONG  B IH L AO NG
GRANDPA  G R AE N D P AA
TARGET  T AA R G AH T
TARGET(1)  T ER G AH T
GAMES  G EY M Z
SCIENCE  S AY AH N S
PLANNING  P L AE N IH NG
PROJECT  P R AA JH EH K T
PROJECT(1)  P R AA JH EH K T
REMAIN  R IH M EY N
REMAIN(1)  R IY M EY N
UNITED  Y UW N AY T AH D
UNITED(1)  Y UW N AY T IH D
PAYING  P EY IH NG
FEED  F IY D
NUMBERS  N AH M B ER Z
FAKE  F EY K
CHRIS  K R IH S
PREPARED  P R IY P EH R D
AW  AO
CREDIT  K R EH D AH T
CREDIT(1)  K R EH D IH T
SUICIDE  S UW AH S AY D
SUICIDE(1)  S UW IH S AY D
RECORDS  R AH K AO R D Z
RECORDS(1)  R EH K ER D Z
RECORDS(2)  R IH K AO R D Z
INVESTIGATION  IH N V EH S T AH G EY SH AH N
NURSE  N ER S
OIL  OY L
CRIMINAL  K R IH M AH N AH L
SOLDIER  S OW L JH ER
RECOGNIZE  R EH K AH G N AY Z
LOUD  L AW D
PLAYS  P L EY Z
ORIGINAL  ER IH JH AH N AH L
HEADS  HH EH D Z
SHIRT  SH ER T
EXAMPLE  IH G Z AE M P AH L
STRIKE  S T R AY K
PRAY  P R EY
CHAIR  CH EH R
INVITED  IH N V AY T AH D
INVITED(1)  IH N V AY T IH D
FILL  F IH L
SURVIVE  S ER V AY V
JEALOUS  JH EH L AH S
UNIVERSE  Y UW N AH V ER S
DISCUSS  D IH S K AH S
COMMAND  K AH M AE N D
EASIER  IY Z IY ER
SUPER  S UW P ER
TRAINING  T R EY N IH NG
INCREDIBLE  IH N K R EH D AH B AH L
PRETEND  P R IY T EH N D
CONDITION  K AH N D IH SH AH N
CHALLENGE  CH AE L AH N JH
BOBBY  B AA B IY
PREPARE  P R IY P EH R
TRULY  T R UW L IY
BALLS  B AO L Z
ROGER  R AA JH ER
PERFECTLY  P ER F AH K T L IY
PERFECTLY(1)  P ER F AH K L IY
TICKET  T IH K AH T
TICKET(1)  T IH K IH T
NOWHERE  N OW W EH R
NOWHERE(1)  N OW HH W EH R
HONESTLY  AA N AH S T L IY
HONESTLY(1)  AA N AH S L IY
COMFORTABLE  K AH M F ER T AH B AH L
MEANING  M IY N IH NG
VIEW  V Y UW
PROGRAM  P R OW G R AE M
BROWN  B R AW N
DRY  D R AY
WASH  W AA SH
TURNING  T ER N IH NG
CONCERNED  K AH N S ER N D
SOCIETY  S OW S AY IH T IY
CARDS  K AA R D Z
PREFER  P R AH F ER
PREFER(1)  P R IH F ER
PREFER(2)  P R IY F ER
NUTS  N AH T S
STOLEN  S T OW L AH N
RELEASE  R IY L IY S
BIRTH  B ER TH
ONTO  AA N T UW
ONTO(1)  AO N T UW
SUNDAY  S AH N D EY
SUNDAY(1)  S AH N D IY
RESEARCH  R IY S ER CH
RESEARCH(1)  R IY S ER CH
USUAL  Y UW ZH AH W AH L
USUAL(1)  Y UW ZH UW AH L
GUEST  G EH S T
AMY  EY M IY
LN  L EY N
UGLY  AH G L IY
LIFT  L IH F T
OPINION  AH P IH N Y AH N
BEGAN  B IH G AE N
BEGAN(1)  B IY G AE N
DESTROYED  D IH S T R OY D
CHARACTER  K EH R IH K T ER
MOUNTAIN  M AW N T AH N
HEAT  HH IY T
SURELY  SH UH R L IY
MOVIES  M UW V IY Z
HO  HH OW
TIE  T AY
FINDING  F AY N D IH NG
SHERIFF  SH EH R AH F
SHERIFF(1)  SH EH R IH F
WHOO  W UW
PIECES  P IY S AH Z
PIECES(1)  P IY S IH Z
BRO  B R OW
COLOR  K AH L ER
COLOR(1)  K AO L ER
DUMB  D AH M
UNFORTUNATELY  AH N F AO R CH AH N AH T L IY
UNFORTUNATELY(1)  AH N F AO R CH UW N AH T L IY
MISTER  M IH S T ER
LETTING  L EH T IH NG
OURS  AW ER Z
OURS(1)  AA R Z
OURS(2)  AW R Z
CHARLES  CH AA R L Z
CHARLES(1)  CH AA R AH L Z
DANIEL  D AE N Y AH L
N  EH N
BODIES  B AA D IY Z
BELIEVED  B IH L IY V D
MATTERS  M AE T ER Z
SWORD  S AO R D
THREW  TH R UW
ENDED  EH N D AH D
ENDED(1)  EH N D IH D
SCREAMS  S K R IY M Z
FRANCE  F R AE N S
EXIST  IH G Z IH S T
RYAN  R AY AH N
LAB  L AE B
BULLET  B UH L AH T
PROOF  P R UW F
BASE  B EY S
AWARE  AH W EH R
BUCKS  B AH K S
CREAM  K R IY M
NOISE  N OY Z
TOTAL  T OW T AH L
SELLING  S EH L IH NG
KIM  K IH M
GANG  G AE NG
HAPPINESS  HH AE P IY N AH S
AFFORD  AH F AO R D
RE  R EY
RE(1)  R IY
BRILLIANT  B R IH L Y AH N T
JOY  JH OY
LETTERS  L EH T ER Z
STUDENTS  S T UW D AH N T S
BREATHING  B R IY DH IH NG
ANNA  AE N AH
FEMALE  F IY M EY L
REALIZED  R IY AH L AY Z D
OPENED  OW P AH N D
DRAW  D R AO
AYE  AY
CREATED  K R IY EY T AH D
CREATED(1)  K R IY EY T IH D
WHENEVER  W EH N EH V ER
WHENEVER(1)  HH W EH N EH V ER
MALE  M EY L
BITE  B AY T
SLEPT  S L EH P T
SHOWER  SH AW ER
STAYED  S T EY D
SOCIAL  S OW SH AH L
CREATE  K R IY EY T
FOLLOWED  F AA L OW D
ENDS  EH N D Z
AUDIENCE  AA D IY AH N S
AUDIENCE(1)  AO D IY AH N S
PURPOSE  P ER P AH S
KEVIN  K EH V IH N
FATE  F EY T
HANDSOME  HH AE N S AH M
ENGLAND  IH NG G L AH N D
ERIC  EH R IH K
DISAPPEARED  D IH S AH P IH R D
DISAPPEARED(1)  D IH S AH P IY R D
LATELY  L EY T L IY
WEAK  W IY K
FALLING  F AA L IH NG
FRIDAY  F R AY D IY
FRIDAY(1)  F R AY D EY
SUGGEST  S AH JH EH S T
LONELY  L OW N L IY
SATURDAY  S AE T ER D IY
SATURDAY(1)  S AE T IH D EY
SCREW  S K R UW
DAN  D AE N
INTRODUCE  IH N T R AH D UW S
INTRODUCE(1)  IH N T R OW D UW S
GENTLEMAN  JH EH N T AH L M AH N
GENTLEMAN(1)  JH EH N AH L M AH N
B  B IY
MEDICINE  M EH D AH S AH N
ANCIENT  EY N CH AH N T
ANCIENT(1)  EY N SH AH N T
SETTLE  S EH T AH L
RESPONSIBILITY  R IY S P AA N S AH B IH L AH T IY
THOUSANDS  TH AW Z AH N D Z
THOUSANDS(1)  TH AW Z AH N Z
FUCKED  F AH K T
BIRDS  B ER D Z
ENTER  EH N T ER
ENTER(1)  EH N ER
OPENING  OW P AH N IH NG
FORCED  F AO R S T
UGH  AH G
BRAVE  B R EY V
SPLIT  S P L IH T
WEIGHT  W EY T
ORDERED  AO R D ER D
UNIT  Y UW N AH T
UNIT(1)  Y UW N IH T
PIG  P IH G
HORSES  HH AO R S AH Z
HORSES(1)  HH AO R S IH Z
DESK  D EH S K
FINGER  F IH NG G ER
TINY  T AY N IY
EXPECTING  IH K S P EH K T IH NG
POOL  P UW L
FOCUS  F OW K AH S
FOCUS(1)  F OW K IH S
GARDEN  G AA R D AH N
RECEIVED  R AH S IY V D
RECEIVED(1)  R IH S IY V D
RECEIVED(2)  R IY S IY V D
PROPERTY  P R AA P ER T IY
SLOWLY  S L OW L IY
NAKED  N EY K AH D
MAYOR  M EY ER
FLAT  F L AE T
ISSUE  IH SH UW
BRINGS  B R IH NG Z
BRITISH  B R IH T IH SH
PAL  P AE L
INTERVIEW  IH N T ER V Y UW
FAN  F AE N
SIGNAL  S IH G N AH L
LINES  L AY N Z
BRIAN  B R AY AH N
SILENCE  S AY L AH N S
SURGERY  S ER JH ER IY
HARM  HH AA R M
SEES  S IY Z
STAFF  S T AE F
AL  AE L
CHEF  SH EH F
JEFF  JH EH F
INSANE  IH N S EY N
EASILY  IY Z AH L IY
SIGNED  S AY N D
WEATHER  W EH DH ER
DISTANCE  D IH S T AH N S
FAILED  F EY L D
SAN  S AE N
ADD  AE D
CARES  K EH R Z
PROCESS  P R AA S EH S
PROCESS(1)  P R AO S EH S
SEASON  S IY Z AH N
ACCESS  AE K S EH S
SPANISH  S P AE N IH SH
MODEL  M AA D AH L
SPARE  S P EH R
RECENTLY  R IY S AH N T L IY
RECENTLY(1)  R IY S AH N L IY
DISCOVERED  D IH S K AH V ER D
WET  W EH T
OHH  OW
FINGERS  F IH NG G ER Z
LOOSE  L UW S
PATH  P AE TH
RUSSIAN  R AH SH AH N
EXPECTED  IH K S P EH K T AH D
EXPECTED(1)  IH K S P EH K T IH D
MEMBER  M EH M B ER
BABE  B EY B
RETURNED  R IH T ER N D
RETURNED(1)  R IY T ER N D
STYLE  S T AY L
PETE  P IY T
KINDA  K IH N D AH
ALARM  AH L AA R M
SENDING  S EH N D IH NG
BASED  B EY S T
COVERED  K AH V ER D
FBI  EH F B IY AY
JAPANESE  JH AE P AH N IY Z
SUGAR  SH UH G ER
ROOF  R UW F
ROOF(1)  R UH F
STREETS  S T R IY T S
FUNERAL  F Y UW N ER AH L
BRIGHT  B R AY T
DAMAGE  D AE M AH JH
DAMAGE(1)  D AE M IH JH
JERRY  JH EH R IY
STOMACH  S T AH M AH K
BREAD  B R EH D
REMIND  R IY M AY N D
LAKE  L EY K
SNOW  S N OW
CASTLE  K AE S AH L
SPEECH  S P IY CH
MANAGE  M AE N AH JH
MANAGE(1)  M AE N IH JH
HEADING  HH EH D IH NG
ED  EH D
BLOCK  B L AA K
SHAKE  SH EY K
OPENS  OW P AH N Z
BURIED  B EH R IY D
DR  D R AY V
DR(1)  D AA K T ER
DOORS  D AO R Z
THOUGHTS  TH AO T S
THOMAS  T AA M AH S
SIMON  S AY M AH N
DIG  D IH G
KATE  K EY T
POST  P OW S T
SHOWING  SH OW IH NG
DRINKS  D R IH NG K S
REALITY  R IY AE L AH T IY
SOFT  S AA F T
SOFT(1)  S AO F T
HARDER  HH AA R D ER
